age,gender,education,employment_status,employment_sector,income_bracket,marital_status,household_size,has_children,urbanicity,region,voted_last,party_id_strength,union_member,public_sector,home_owner,small_biz_owner,owns_car,wa_groups,refused_count,attention_check,will_turnout,undecided,preference_strength,survey_confidence,tv_news_hours,social_media_hours,trust_media,civic_participation,job_tenure_years,primary_choice,secondary_choice,intended_vote
19.0,1.0,2.0,5.0,2.0,3.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,6.0,0.0,3.0,2.0,6.0,27.0,CAND_Frontera,CAND_Halley,Undecided
63.0,1.0,4.0,3.0,3.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,9.0,0.0,2.0,5.0,5.0,6.0,10.0,CAND_Demetra,CAND_Jade,Undecided
57.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,10.0,2.0,5.0,3.0,9.0,8.0,24.0,CAND_Civico,CAND_Halley,Undecided
21.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,0.0,0.0,4.0,1.0,,0.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,1.0,,6.0,1.0,3.0,0.0,10.0,25.0,CAND_Azon,CAND_Civico,Undecided
78.0,0.0,2.0,1.0,1.0,,3.0,7.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,6.0,7.0,0.0,2.0,8.0,5.0,24.0,CAND_Demetra,CAND_Jade,Undecided
32.0,1.0,2.0,5.0,4.0,3.0,4.0,7.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,,0.0,6.0,0.0,3.0,3.0,5.0,8.0,30.0,CAND_Azon,CAND_Frontera,CAND_Azon
35.0,0.0,1.0,4.0,3.0,4.0,0.0,,1.0,1.0,3.0,0.0,4.0,1.0,,1.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,9.0,1.0,4.0,8.0,1.0,25.0,CAND_Civico,CAND_Azon,Undecided
30.0,0.0,3.0,4.0,5.0,3.0,0.0,4.0,0.0,,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,8.0,1.0,3.0,1.0,9.0,36.0,CAND_Gaia,CAND_Halley,Undecided
40.0,1.0,2.0,2.0,5.0,4.0,2.0,6.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,8.0,1.0,4.0,6.0,8.0,6.0,CAND_Azon,CAND_Electra,Undecided
29.0,1.0,2.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,,9.0,27.0,CAND_Halley,CAND_Icaro,Undecided
41.0,,4.0,,4.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,7.0,2.0,3.0,10.0,1.0,36.0,CAND_Frontera,CAND_Civico,Undecided
72.0,0.0,4.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,8.0,CAND_Jade,CAND_Gaia,Undecided
48.0,,0.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,5.0,2.0,3.0,2.0,6.0,3.0,5.0,CAND_Azon,,Undecided
79.0,1.0,0.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,1.0,,1.0,5.0,7.0,26.0,CAND_Azon,CAND_Frontera,CAND_Azon
48.0,1.0,5.0,2.0,1.0,1.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,2.0,32.0,CAND_Civico,CAND_Demetra,Undecided
36.0,1.0,,2.0,1.0,0.0,4.0,7.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,,4.0,4.0,1.0,0.0,2.0,0.0,7.0,CAND_Jade,CAND_Civico,Undecided
70.0,0.0,0.0,3.0,3.0,4.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,4.0,5.0,5.0,5.0,7.0,17.0,CAND_Gaia,CAND_Halley,Undecided
72.0,2.0,5.0,1.0,3.0,0.0,1.0,5.0,1.0,0.0,,1.0,3.0,,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,6.0,1.0,5.0,5.0,2.0,4.0,4.0,CAND_Azon,CAND_Frontera,Undecided
75.0,0.0,2.0,3.0,0.0,0.0,,4.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,9.0,3.0,,4.0,2.0,5.0,32.0,CAND_Demetra,CAND_Civico,Undecided
77.0,0.0,,2.0,1.0,4.0,3.0,7.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,,3.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,3.0,9.0,CAND_Gaia,CAND_Halley,Undecided
19.0,0.0,3.0,3.0,1.0,4.0,1.0,6.0,0.0,,2.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,5.0,3.0,10.0,24.0,CAND_Azon,CAND_Civico,CAND_Azon
52.0,0.0,2.0,4.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,1.0,1.0,5.0,1.0,,1.0,0.0,,4.0,4.0,10.0,9.0,25.0,CAND_Jade,CAND_Demetra,Undecided
35.0,,3.0,3.0,2.0,,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,6.0,3.0,0.0,CAND_Jade,CAND_Gaia,Undecided
34.0,,0.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,4.0,6.0,2.0,0.0,10.0,6.0,11.0,CAND_Azon,CAND_Icaro,Undecided
34.0,0.0,0.0,5.0,1.0,4.0,,5.0,1.0,2.0,4.0,,4.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,10.0,5.0,0.0,5.0,5.0,,3.0,CAND_Frontera,CAND_Icaro,Undecided
73.0,1.0,4.0,1.0,2.0,2.0,,2.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,,3.0,3.0,1.0,,1.0,4.0,4.0,0.0,0.0,8.0,4.0,6.0,CAND_Icaro,CAND_Boreal,Undecided
71.0,0.0,2.0,3.0,3.0,4.0,4.0,6.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,,,0.0,1.0,2.0,1.0,0.0,1.0,6.0,9.0,3.0,5.0,0.0,7.0,7.0,CAND_Jade,CAND_Icaro,Undecided
32.0,0.0,4.0,1.0,3.0,0.0,3.0,7.0,1.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,10.0,3.0,2.0,1.0,7.0,5.0,6.0,CAND_Civico,CAND_Azon,Undecided
45.0,1.0,5.0,1.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,5.0,,1.0,2.0,1.0,7.0,9.0,CAND_Civico,CAND_Boreal,CAND_Civico
67.0,0.0,1.0,3.0,,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,2.0,4.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,4.0,1.0,35.0,CAND_Demetra,CAND_Electra,Undecided
27.0,0.0,5.0,0.0,,2.0,4.0,5.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,,1.0,0.0,3.0,1.0,,0.0,8.0,6.0,4.0,4.0,0.0,2.0,28.0,CAND_Demetra,CAND_Azon,CAND_Demetra
